Samples	Total_reads_after_preproc	Host_reads_percentage
ANG_301	3550608	0.06%
ANG_302	3167107	0.68%
ANG_303	2660051	0.03%
ANG_304	3280607	0.07%
ANG_305	2815620	0.14%
ANG_307	3127076	0.18%
ANG_308	3219029	0.07%
ANG_401	2629753	0.07%
ANG_402	2716698	0.04%
ANG_403	2778425	2.69%
ANG_404	3215966	0.34%
ANG_407	3000573	0.01%
ANG_501	2527350	0.06%
ANG_503	2791323	0.09%
ANG_505	2995254	0.12%
ANG_506	2461055	0.11%
CHAR_601	2098599	0.04%
CHAR_604	2944599	0.02%
CHAR_608	2160109	0.11%
CHAR_611	2664373	0.16%
CHAR_612	1902850	0.03%
CHAR_701	2392957	0.06%
CHAR_702	2701035	0.15%
CHAR_703	2772206	0.01%
CHAR_704	3594781	0.02%
CHAR_705	3293500	0.01%
CHAR_706	1685662	0.01%
CHAR_707	3459789	0.35%
CHAR_708	3266958	0.11%
CHAR_709	2069894	0.02%
CHAR_710	3303414	0.02%
CHAR_712	2068269	0.03%
HYB_101	3915236	0.03%
HYB_103	3729250	0.09%
HYB_104	3295752	0.16%
HYB_105	3649556	0.01%
HYB_106	2953040	0.03%
HYB_107	3993741	0.07%
HYB_112	2952251	0.10%
HYB_201	2565753	0.10%
HYB_202	2621817	0.02%
HYB_203	3268348	0.19%
HYB_205	2521260	0.08%
HYB_206	3409586	0.04%
HYB_207	2918802	0.00%
HYB_208	2710122	0.07%
HYB_209	3341741	0.01%
HYB_210	2994312	0.01%
