samples	HYB_210_profile	HYB_209_profile	HYB_208_profile	HYB_207_profile	HYB_206_profile	HYB_205_profile	HYB_203_profile	HYB_202_profile	HYB_201_profile	HYB_112_profile	HYB_107_profile	HYB_106_profile	HYB_105_profile	HYB_104_profile	HYB_103_profile	HYB_101_profile	CHAR_712_profile	CHAR_710_profile	CHAR_709_profile	CHAR_708_profile	CHAR_707_profile	CHAR_706_profile	CHAR_705_profile	CHAR_704_profile	CHAR_703_profile	CHAR_702_profile	CHAR_701_profile	CHAR_612_profile	CHAR_611_profile	CHAR_608_profile	CHAR_604_profile	CHAR_601_profile	ANG_506_profile	ANG_505_profile	ANG_503_profile	ANG_501_profile	ANG_407_profile	ANG_404_profile	ANG_403_profile	ANG_402_profile	ANG_401_profile	ANG_308_profile	ANG_307_profile	ANG_305_profile	ANG_304_profile	ANG_303_profile	ANG_302_profile	ANG_301_profile
Candidatus_Methanomethylophilus_sp_1R26	0	0	0	0	0	0	7.332089999999999	11.06916	1.3126	0	9.34423	0	0	0	0	3.69905	2.0502	0	0	26.07641	4.0583800000000005	65.37196	0	0	13.59295	0	0	0	0	0	0	0	0.59853	0	0	0	0	0	12.35614	0	0	0	0	0	1.79383	0	0	3.16437
Thermoplasmatales_archaeon_BRNA1	0	0	0	0	43.99673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoscardovia_suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68809	0	0	0	0	0	0	0	0
Olsenella_scatoligenes	0	0	0	0	0	0	3.34924	6.30932	0	0	1.05833	0	0	0	0	5.423019999999999	11.425880000000001	2.9862	18.69265	53.9341	19.16605	0	0	17.48092	16.34105	0	0	0	6.1915	0	0	0	10.24583	9.84856	6.98163	1.73931	0	0	12.49566	15.47895	0	2.02338	13.392489999999999	4.37959	0.8492200000000001	0	0	1.80751
Bacteroidales_bacterium_KHT7	41.25667	44.20323	0	0	0	19.5577	24.683770000000003	51.24388	30.64425	0	10.19345	2.67846	60.61707	4.7527800000000004	0.58635	9.28416	0	0	2.56997	0	0	0	0	0	0	0	0	0	1.46862	0	30.84335	0	5.88782	0	3.54722	0	0	8.30172	5.97084	0	0	9.73995	0	6.43329	0.526	0	0	8.53609
Bacteroidales_bacterium_WCE2008	0	0	0	0	0	0	0	0	0	0	0	0	0	4.978940000000001	2.18531	0.82783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.20164	0	0	0	0	0	0	0	0
Prevotella_ruminicola	0	0	0	0	0	0	0	0	15.245289999999999	0	0	0	0	0	0	0	8.1388	0	0	0	2.0394400000000004	0	0	0	0	0	0	0	0	0	0	0	0	7.01939	0	0	0	0	0	0	0	0	0	0	2.68749	0	0	3.11603
Fibrobacter_sp_UWB4	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacter_sp_UWH4	0	0	0	0	0	6.52554	1.33894	13.728879999999998	4.42366	0	12.8848	0	0	0	1.45085	11.165189999999999	0	0	12.364289999999999	10.93776	0	0	46.68672	0	0	0	0	0	8.91013	0	0	0	0	2.1370400000000003	0	3.5641	0	0	0	0	0	9.656930000000001	0	0	0	0	0	0
Fibrobacter_succinogenes	5.8596699999999995	0	0	0	0	0	0	0	10.86587	97.13514	0	87.86894000000001	39.38293	77.9382	51.73799	14.579360000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.730970000000003	0	12.404869999999999	0	0	0	10.869060000000001	0	0	0	0
