Samples	Number_of_contigs	Total_bp	Min_length	Max_Length	Mean_length	N50
ANG_301	50312	56835537	200	203839	1129	2029
ANG_302	42163	37659711	200	136886	893	1179
ANG_303	32008	34949805	200	206350	1091	1639
ANG_304	52187	50295283	200	95933	963	1301
ANG_305	37969	33097224	200	108633	871	1126
ANG_307	44038	47693058	200	373535	1082	1882
ANG_308	50246	56753349	200	374146	1129	1801
ANG_401	34231	29105654	200	187380	850	1007
ANG_402	37823	39082441	200	47543	1033	1600
ANG_403	37274	34055067	200	260318	913	1238
ANG_404	50694	45972679	200	143043	906	1182
ANG_407	28682	26584387	200	206350	926	1189
ANG_501	39974	31135941	200	80025	778	887
ANG_503	44492	41689517	200	177213	937	1268
ANG_505	49353	47876343	200	350549	970	1325
ANG_506	47292	38164863	200	136219	807	950
CHAR_601	26162	19984226	200	159754	763	875
CHAR_604	30514	28154440	200	249527	922	1238
CHAR_608	23029	23669742	202	222624	1027	1660
CHAR_611	28519	30350041	200	200053	1064	1720
CHAR_612	24830	20723578	200	28983	834	1064
CHAR_701	30071	30230243	200	53262	1005	1525
CHAR_702	33339	33378931	200	68859	1001	1597
CHAR_703	43487	39295045	200	379314	903	1189
CHAR_704	49149	47715194	200	218856	970	1303
CHAR_705	31009	35772914	200	379242	1153	3170
CHAR_706	20185	19620790	200	200222	972	1385
CHAR_707	55430	53866589	200	194540	971	1316
CHAR_708	51923	56873388	200	165491	1095	1749
CHAR_709	21457	21286778	200	175603	992	1380
CHAR_710	50298	41985421	200	207818	834	984
CHAR_712	18519	17398028	201	379197	939	1316
HYB_101	48591	48618550	200	516326	1000	1491
HYB_103	48527	39230828	201	183981	808	1007
HYB_104	34863	34909371	200	190151	1001	1562
HYB_105	43047	34655855	200	149752	805	899
HYB_106	32879	34807548	200	135719	1058	1596
HYB_107	45420	47283440	200	254058	1041	1633
HYB_112	33913	33774417	200	174689	995	1367
HYB_201	41291	26688000	201	23136	646	690
HYB_202	28188	26551220	200	194251	941	1188
HYB_203	53318	48072411	200	179489	901	1148
HYB_205	33337	31077382	200	402559	932	1289
HYB_206	54196	40848684	200	138222	753	889
HYB_207	35875	33871894	200	212300	944	1291
HYB_208	42271	33027379	201	22485	781	934
HYB_209	46660	42746681	200	403564	916	1192
HYB_210	47949	40425050	200	39638	843	1058
