Samples	Mapping_rate
ANG_301	46.07%
ANG_302	45.54%
ANG_303	41.98%
ANG_304	53.11%
ANG_305	54.16%
ANG_307	66.55%
ANG_308	47.54%
ANG_401	32.82%
ANG_402	38.55%
ANG_403	48.47%
ANG_404	32.11%
ANG_407	4.90%
ANG_501	39.06%
ANG_503	44.78%
ANG_505	58.53%
ANG_506	51.21%
CHAR_601	57.49%
CHAR_604	44.75%
CHAR_608	37.23%
CHAR_611	32.89%
CHAR_612	39.79%
CHAR_701	34.88%
CHAR_702	50.08%
CHAR_703	49.32%
CHAR_704	56.39%
CHAR_705	33.58%
CHAR_706	28.80%
CHAR_707	71.52%
CHAR_708	58.30%
CHAR_709	43.03%
CHAR_710	46.95%
CHAR_712	44.03%
HYB_101	50.20%
HYB_103	40.17%
HYB_104	45.92%
HYB_105	32.05%
HYB_106	36.30%
HYB_107	51.33%
HYB_112	47.05%
HYB_201	52.92%
HYB_202	47.55%
HYB_203	65.84%
HYB_205	43.01%
HYB_206	46.01%
HYB_207	31.63%
HYB_208	23.22%
HYB_209	34.17%
HYB_210	29.37%
