Samples	Input_reads	Percent_rRNA		Percent_LSU	Percent_SSU	Percent_5S	Percent_5_8S	Output_reads
ANG_301	3151010	46.12	44.95	1.16	0.00	0.01		1697729
ANG_302	1685896	67.50	64.56	2.91	0.00	0.02		547934
ANG_303	3032952	63.84	61.87	1.95	0.00	0.02		1096750
ANG_304	2426853	24.27	23.06	1.15	0.04	0.02		1837973
ANG_305	3135180	57.65	55.66	1.97	0.00	0.01		1327740
ANG_307	2343525	51.11	48.25	2.84	0.00	0.00		1145844
ANG_308	2951883	51.94	45.13	6.79	0.01	0.00		1418804
ANG_401	2863540	70.51	67.92	2.55	0.00	0.03		844492
ANG_402	2185015	64.38	60.78	3.58	0.01	0.01		778403
ANG_403	1548160	52.46	48.43	4.02	0.00	0.00		736048
ANG_404	2761547	73.57	70.14	3.41	0.00	0.01		729854
ANG_407	2917821	75.41	73.01	2.38	0.00	0.02		717396
ANG_501	2257984	42.54	41.20	1.33	0.00	0.01		1297365
ANG_503	3333425	72.17	66.70	5.45	0.01	0.02		927575
ANG_505	1641224	21.25	20.26	0.98	0.01	0.00		1292409
ANG_506	2270110	49.78	46.20	3.56	0.00	0.00		1140084
CHAR_601	3716861	88.11	85.06	3.02	0.00	0.04		441797
CHAR_604	4586669	69.03	67.52	1.47	0.00	0.04		1420343
CHAR_608	4552422	80.94	79.39	1.51	0.00	0.04		867538
CHAR_611	2728944	40.43	40.01	0.38	0.00	0.04		1625526
CHAR_612	2647774	72.66	70.73	1.92	0.00	0.02		723770
CHAR_701	2934618	86.15	83.25	2.88	0.00	0.01		406499
CHAR_702	1465477	69.40	67.19	2.20	0.00	0.01		448424
CHAR_703	2417214	69.09	64.76	4.32	0.00	0.00		747235
CHAR_704	1366280	56.53	51.11	5.41	0.00	0.00		593961
CHAR_705	1611914	63.90	60.14	3.75	0.00	0.01		581967
CHAR_706	3815478	80.86	78.26	2.58	0.00	0.02		730096
CHAR_707	2978616	53.61	50.89	2.72	0.00	0.00		1381766
CHAR_708	2100735	51.41	49.29	2.11	0.00	0.00		1020694
CHAR_709	3031770	79.35	75.92	3.41	0.00	0.01		626145
CHAR_710	2411516	75.38	70.06	5.30	0.00	0.01		593802
CHAR_712	2723088	68.92	65.55	3.35	0.00	0.01		846399
HYB_101	2891731	18.05	17.41	0.62	0.00	0.01		2369872
HYB_103	2553586	11.65	10.81	0.82	0.01	0.02		2256025
HYB_104	2945599	44.93	44.09	0.76	0.01	0.06		1622109
HYB_105	3400600	79.68	77.16	2.46	0.00	0.05		691130
HYB_106	2934305	35.98	35.34	0.52	0.01	0.12		1878535
HYB_107	3276142	60.83	59.75	0.93	0.01	0.13		1283319
HYB_112	2094761	39.30	37.08	2.17	0.01	0.04		1271472
HYB_201	2002815	25.25	24.41	0.82	0.00	0.02		1497201
HYB_202	4133933	77.28	74.76	2.47	0.00	0.05		939129
HYB_203	2279558	56.51	54.91	1.58	0.00	0.01		991336
HYB_205	2425014	43.66	43.07	0.56	0.00	0.03		1366197
HYB_206	2547608	71.01	68.67	2.31	0.00	0.02		738472
HYB_207	4245671	57.45	56.59	0.81	0.00	0.05		1806501
HYB_208	3139654	69.17	67.74	1.38	0.00	0.04		967887
HYB_209	2942057	60.61	59.31	1.26	0.00	0.04		1158884
HYB_210	2918589	78.30	76.44	1.81	0.00	0.04		633458
